francais,fon,pluriel,vu_dans
"Nom et prénom",,,resources/views/legal/privacy.blade.php:14
"Nom et prénoms",,,resources/views/membres/edit.blade.php:29
"Nom ou téléphone",,,resources/views/statistiques.blade.php:22
"Non accordé",,,resources/views/rgpd/index.blade.php:47
"Notre mission",,,resources/views/about.blade.php:8
"Nous collectons uniquement les données nécessaires au fonctionnement de l'application :",,,resources/views/legal/privacy.blade.php:12
"Nous contacter",,,resources/views/contact.blade.php:9
"Nous mettons en place des mesures techniques et organisationnelles pour protéger vos données :",,,resources/views/legal/privacy.blade.php:31
"Nous nous réservons le droit de modifier ces conditions à tout moment. Les utilisateurs seront informés des modifications importantes.",,,resources/views/legal/terms.blade.php:48
"Nous rencontrons actuellement des difficultés techniques. Veuillez réessayer dans quelques instants.",,,resources/views/errors/database.blade.php:19
"Nouveau mot de passe",,,resources/views/profile/partials/update-password-form.blade.php:23
"Numéro de téléphone",,,resources/views/membres/edit.blade.php:41
Objet,,,resources/views/legal/terms.blade.php:11
"Obligations de l'utilisateur",,,resources/views/legal/terms.blade.php:28
"Obtenir le consentement des personnes enregistrées",,,resources/views/legal/terms.blade.php:34
Organisation,,,resources/views/layouts/navigation.blade.php:64
"Oui, le bouton « Exporter PDF » de la page Statistiques produit un document reprenant les filtres appliqués.",,,resources/views/faq.blade.php:25
"Ouvrez une session et pointez les présences",,,resources/views/documentation.blade.php:13
"Ouvrez « Confidentialité (RGPD) » et utilisez « Retirer mon consentement » dans la section « Votre consentement personnel ».",,,resources/views/faq.blade.php:30
"Ouvrez « Membres », cliquez sur « + Ajouter », renseignez le nom et le téléphone, choisissez le ou les groupes et cochez le consentement RGPD.",,,resources/views/faq.blade.php:10
"Ouvrir le menu",,,resources/views/layouts/navigation.blade.php:8
"Ouvrir une session",,,resources/views/dashboard.blade.php:92
"Paramètres d'alertes mis à jour.",,,app/Http/Controllers/AlertController.php:68
"Pas encore de compte ?",,,resources/views/auth/login.blade.php:59
"Placez le QR du membre dans le cadre.",,,resources/views/sessions/open.blade.php:28
Plus,,,resources/views/heatmap/index.blade.php:72
"Pointage instantané au scan",,,resources/views/demo.blade.php:45
"Politique de confidentialité",,,resources/views/legal/privacy.blade.php:5
"Pour toute question ou suggestion, n'hésitez pas à nous contacter.",,,resources/views/about.blade.php:25
"Pour toute question, suggestion ou support technique :",,,resources/views/contact.blade.php:10
"Pour une aide personnalisée, contactez-nous depuis la page Contact.",,,resources/views/documentation.blade.php:42
"Processus simplifié",,,resources/views/demo.blade.php:54
Produit,,,resources/views/components/footer.blade.php:5
Profil,,,resources/views/profile/edit.blade.php:4
"Programmez des événements pour voir le classement",,,resources/views/membres/index.blade.php:266
Progression,,,resources/views/statistiques-avancees.blade.php:113
"Protection des données",,,resources/views/legal/privacy.blade.php:30
"Protection des données (RGPD)",,,resources/views/rgpd/index.blade.php:4
"Présence enregistrée pour :name",,,app/Http/Controllers/AttendanceSessionController.php:160
Présences,,,resources/views/statistiques-avancees.blade.php:111
"Présences (période)",,,resources/views/statistiques-avancees.blade.php:44
"Présences totales",,,resources/views/heatmap/index.blade.php:37
Présent,,,resources/views/dashboardV.blade.php:45
Présents,,,resources/views/pdf/statistiques.blade.php:106
"Prêt à commencer ?",,,resources/views/welcome.blade.php:59
"Puis-je exporter les statistiques ?",,,resources/views/faq.blade.php:24
Période,,,resources/views/statistiques-avancees.blade.php:11
"Période actuelle",,,resources/views/statistiques-avancees.blade.php:68
"Période précédente",,,resources/views/statistiques-avancees.blade.php:74
"QR code invalide ou révoqué.",,,app/Http/Controllers/AttendanceSessionController.php:125
RGPD,,,resources/views/features.blade.php:34
Rang,,,resources/views/statistiques-avancees.blade.php:109
"Rappel : n'oubliez pas l'événement « :event » prévu le :date. Pensez à pointer votre présence.",,,app/Services/AlertService.php:31
"Rappel envoyé.",,,app/Services/AlertService.php:39
"Rappels de pointage",,,resources/views/alerts/index.blade.php:146
"Rapports PDF détaillés",,,resources/views/demo.blade.php:90
"Ravis de vous revoir",,,resources/views/auth/login.blade.php:3
"Recherche :",,,resources/views/pdf/statistiques.blade.php:99
Rechercher,,,resources/views/statistiques.blade.php:21
"Rejoignez le système de gestion de présence.",,,resources/views/auth/register.blade.php:4
"Renvoyer l'email de vérification",,,resources/views/auth/verify-email.blade.php:18
"Respecter la confidentialité des données",,,resources/views/legal/terms.blade.php:32
Responsabilité,,,resources/views/legal/terms.blade.php:39
"Retirer mon consentement",,,resources/views/rgpd/index.blade.php:129
"Retour au tableau de bord",,,resources/views/sessions/open.blade.php:4
"Retour à l'accueil",,,resources/views/layouts/guest.blade.php:43
Réessayer,,,resources/views/offline.blade.php:22
Régularité,,,resources/views/membres/index.blade.php:117
Réinitialiser,,,resources/views/heatmap/index.blade.php:28
"Réinitialiser le mot de passe",,,resources/views/auth/reset-password.blade.php:35
"SMS (bientôt disponible)",,,resources/views/alerts/index.blade.php:174
"Scan QR ou saisie manuelle",,,resources/views/demo.blade.php:72
"Scan rapide",,,resources/views/demo.blade.php:40
"Scanner les présences",,,resources/views/dashboard.blade.php:82
"Score de régularité par membre et carte d'activité jour par jour",,,resources/views/features.blade.php:30
"Se connecter",,,resources/views/welcome.blade.php:21
"Se souvenir de moi",,,resources/views/auth/login.blade.php:43
"Service temporairement indisponible",,,resources/views/errors/database.blade.php:17
"Session en cours",,,resources/views/dashboard.blade.php:72
"Session en cours · ouverte le :date",,,resources/views/sessions/open.blade.php:10
"Session fermée.",,,app/Http/Controllers/AttendanceSessionController.php:78
"Session ouverte.",,,app/Http/Controllers/AttendanceSessionController.php:66
"Si vous découvrez une faille de sécurité, merci de nous contacter immédiatement pour que nous puissions la corriger rapidement.",,,resources/views/legal/security.blade.php:38
"Signalement de vulnérabilité",,,resources/views/legal/security.blade.php:36
Statistiques,,,resources/views/layouts/navigation.blade.php:53
"Statistiques automatiques",,,resources/views/demo.blade.php:81
"Statistiques de présence",,,resources/views/pdf/statistiques.blade.php:6
"Statistiques et analyses",,,resources/views/about.blade.php:18
"Statistiques à jour",,,resources/views/demo.blade.php:19
"Statistiques, classement de régularité et carte d'assiduité se mettent à jour d'eux-mêmes, groupe par groupe.",,,resources/views/welcome.blade.php:51
